Date,GeoID,GeoName,NAICS,NAICS Description,Prices,Value
1997,48,Alberta,61,Educational services,Chained (2017) dollars,7429200000.0
1997,48,Alberta,62,Health care and social assistance,Chained (2017) dollars,9825400000.0
1997,48,Alberta,71,"Arts, entertainment and recreation",Chained (2017) dollars,1618900000.0
1997,48,Alberta,72,Accommodation and food services,Chained (2017) dollars,4589700000.0
1997,48,Alberta,81,Other services (except public administration),Chained (2017) dollars,3203300000.0
1997,48,Alberta,91,Public administration,Chained (2017) dollars,9607600000.0
1997,48,Alberta,T001,All industries,Chained (2017) dollars,179371600000.0
1997,48,Alberta,11,"Agriculture, forestry, fishing and hunting",Chained (2017) dollars,3019100000.0
1997,48,Alberta,21,"Mining, quarrying, and oil and gas extraction",Chained (2017) dollars,41840600000.0
1997,48,Alberta,22,Utilities,Chained (2017) dollars,2879500000.0
1997,48,Alberta,23,Construction,Chained (2017) dollars,14278000000.0
1997,48,Alberta,31-33,Manufacturing,Chained (2017) dollars,18096400000.0
1997,48,Alberta,41,Wholesale trade,Chained (2017) dollars,7783000000.0
1997,48,Alberta,44-45,Retail trade,Chained (2017) dollars,5951000000.0
1997,48,Alberta,48-49,Transportation and warehousing,Chained (2017) dollars,8447700000.0
1997,48,Alberta,51,Information and cultural industries,Chained (2017) dollars,3228700000.0
1997,48,Alberta,52,Finance and insurance,Chained (2017) dollars,6137300000.0
1997,48,Alberta,53,Real estate and rental and leasing,Chained (2017) dollars,15860300000.0
1997,48,Alberta,54,"Professional, scientific and technical services",Chained (2017) dollars,8127300000.0
1997,48,Alberta,55,Management of companies and enterprises,Chained (2017) dollars,1263000000.0
1997,48,Alberta,56,"Administrative and support, waste management and remediation services",Chained (2017) dollars,3677000000.0
1998,48,Alberta,41,Wholesale trade,Chained (2017) dollars,8472600000.0
1998,48,Alberta,31-33,Manufacturing,Chained (2017) dollars,18695600000.0
1998,48,Alberta,23,Construction,Chained (2017) dollars,14701900000.0
1998,48,Alberta,22,Utilities,Chained (2017) dollars,2979600000.0
1998,48,Alberta,21,"Mining, quarrying, and oil and gas extraction",Chained (2017) dollars,40594800000.0
1998,48,Alberta,11,"Agriculture, forestry, fishing and hunting",Chained (2017) dollars,3148800000.0
1998,48,Alberta,T001,All industries,Chained (2017) dollars,188054800000.0
1998,48,Alberta,44-45,Retail trade,Chained (2017) dollars,6665000000.0
1998,48,Alberta,48-49,Transportation and warehousing,Chained (2017) dollars,8807900000.0
1998,48,Alberta,51,Information and cultural industries,Chained (2017) dollars,3802200000.0
1998,48,Alberta,52,Finance and insurance,Chained (2017) dollars,6400000000.0
1998,48,Alberta,53,Real estate and rental and leasing,Chained (2017) dollars,17139000000.0
1998,48,Alberta,54,"Professional, scientific and technical services",Chained (2017) dollars,9170400000.0
1998,48,Alberta,55,Management of companies and enterprises,Chained (2017) dollars,1442100000.0
1998,48,Alberta,56,"Administrative and support, waste management and remediation services",Chained (2017) dollars,3924300000.0
