Date,NAICS Description,Value,LastUpdated
1997,Agriculture & forestry,3019100000.0,2024-12-29T04:16:14.672091
1997,All industries,179371600000.0,2024-12-29T04:16:14.672091
1997,Business & professional services,31845200000.0,2024-12-29T04:16:14.672091
1997,Construction & construction trades,30138300000.0,2024-12-29T04:16:14.672091
1997,"Manufacturing, packaging & processing",18096400000.0,2024-12-29T04:16:14.672091
1997,Mining & petroleum development,41840600000.0,2024-12-29T04:16:14.672091
1997,"Provincial & municipal government, education & health",26862200000.0,2024-12-29T04:16:14.672091
1997,"Transportation, communication & utilities",11327200000.0,2024-12-29T04:16:14.672091
1997,Wholesale and retail,13734000000.0,2024-12-29T04:16:14.672091
1998,Agriculture & forestry,3148800000.0,2024-12-29T04:16:14.672091
1998,All industries,188054800000.0,2024-12-29T04:16:14.672091
1998,Business & professional services,34556600000.0,2024-12-29T04:16:14.672091
1998,Construction & construction trades,31840900000.0,2024-12-29T04:16:14.672091
1998,"Manufacturing, packaging & processing",18695600000.0,2024-12-29T04:16:14.672091
1998,Mining & petroleum development,40594800000.0,2024-12-29T04:16:14.672091
1998,"Provincial & municipal government, education & health",28211100000.0,2024-12-29T04:16:14.672091
1998,"Transportation, communication & utilities",11787500000.0,2024-12-29T04:16:14.672091
1998,Wholesale and retail,15137600000.0,2024-12-29T04:16:14.672091
1999,Agriculture & forestry,3640900000.0,2024-12-29T04:16:14.672091
1999,All industries,190749600000.0,2024-12-29T04:16:14.672091
1999,Business & professional services,35208400000.0,2024-12-29T04:16:14.672091
1999,Construction & construction trades,32503700000.0,2024-12-29T04:16:14.672091
1999,"Manufacturing, packaging & processing",18088800000.0,2024-12-29T04:16:14.672091
1999,Mining & petroleum development,40954100000.0,2024-12-29T04:16:14.672091
1999,"Provincial & municipal government, education & health",28591000000.0,2024-12-29T04:16:14.672091
1999,"Transportation, communication & utilities",11981300000.0,2024-12-29T04:16:14.672091
1999,Wholesale and retail,15514300000.0,2024-12-29T04:16:14.672091
2000,Agriculture & forestry,3958300000.0,2024-12-29T04:16:14.672091
2000,All industries,202215000000.0,2024-12-29T04:16:14.672091
2000,Business & professional services,37223400000.0,2024-12-29T04:16:14.672091
2000,Construction & construction trades,35772300000.0,2024-12-29T04:16:14.672091
2000,"Manufacturing, packaging & processing",22067900000.0,2024-12-29T04:16:14.672091
2000,Mining & petroleum development,40011300000.0,2024-12-29T04:16:14.672091
2000,"Provincial & municipal government, education & health",30105600000.0,2024-12-29T04:16:14.672091
2000,"Transportation, communication & utilities",12547500000.0,2024-12-29T04:16:14.672091
2000,Wholesale and retail,16434700000.0,2024-12-29T04:16:14.672091
2001,Agriculture & forestry,3741100000.0,2024-12-29T04:16:14.672091
2001,All industries,205892100000.0,2024-12-29T04:16:14.672091
2001,Business & professional services,39544300000.0,2024-12-29T04:16:14.672091
2001,Construction & construction trades,37347300000.0,2024-12-29T04:16:14.672091
2001,"Manufacturing, packaging & processing",21012300000.0,2024-12-29T04:16:14.672091
2001,Mining & petroleum development,39221100000.0,2024-12-29T04:16:14.672091
2001,"Provincial & municipal government, education & health",30227300000.0,2024-12-29T04:16:14.672091
2001,"Transportation, communication & utilities",13518800000.0,2024-12-29T04:16:14.672091
2001,Wholesale and retail,17205300000.0,2024-12-29T04:16:14.672091
2002,Agriculture & forestry,3206500000.0,2024-12-29T04:16:14.672091
2002,All industries,210970100000.0,2024-12-29T04:16:14.672091
2002,Business & professional services,41304400000.0,2024-12-29T04:16:14.672091
2002,Construction & construction trades,39896900000.0,2024-12-29T04:16:14.672091
2002,"Manufacturing, packaging & processing",20708100000.0,2024-12-29T04:16:14.672091
2002,Mining & petroleum development,38156200000.0,2024-12-29T04:16:14.672091
2002,"Provincial & municipal government, education & health",32668000000.0,2024-12-29T04:16:14.672091
2002,"Transportation, communication & utilities",13770200000.0,2024-12-29T04:16:14.672091
2002,Wholesale and retail,18010200000.0,2024-12-29T04:16:14.672091
2003,Agriculture & forestry,4705300000.0,2024-12-29T04:16:14.672091
2003,All industries,218693000000.0,2024-12-29T04:16:14.672091
2003,Business & professional services,43118600000.0,2024-12-29T04:16:14.672091
2003,Construction & construction trades,40972600000.0,2024-12-29T04:16:14.672091
2003,"Manufacturing, packaging & processing",19925700000.0,2024-12-29T04:16:14.672091
2003,Mining & petroleum development,39262200000.0,2024-12-29T04:16:14.672091
2003,"Provincial & municipal government, education & health",33787200000.0,2024-12-29T04:16:14.672091
2003,"Transportation, communication & utilities",14328000000.0,2024-12-29T04:16:14.672091
2003,Wholesale and retail,18891700000.0,2024-12-29T04:16:14.672091
2004,Agriculture & forestry,5556100000.0,2024-12-29T04:16:14.672091
2004,All industries,231299300000.0,2024-12-29T04:16:14.672091
2004,Business & professional services,45481000000.0,2024-12-29T04:16:14.672091
2004,Construction & construction trades,43171000000.0,2024-12-29T04:16:14.672091
2004,"Manufacturing, packaging & processing",21864300000.0,2024-12-29T04:16:14.672091
2004,Mining & petroleum development,41732300000.0,2024-12-29T04:16:14.672091
2004,"Provincial & municipal government, education & health",34896300000.0,2024-12-29T04:16:14.672091
2004,"Transportation, communication & utilities",14672300000.0,2024-12-29T04:16:14.672091
2004,Wholesale and retail,19957500000.0,2024-12-29T04:16:14.672091
2005,Agriculture & forestry,5419000000.0,2024-12-29T04:16:14.672091
2005,All industries,241957100000.0,2024-12-29T04:16:14.672091
2005,Business & professional services,47713900000.0,2024-12-29T04:16:14.672091
2005,Construction & construction trades,46551800000.0,2024-12-29T04:16:14.672091
2005,"Manufacturing, packaging & processing",24042000000.0,2024-12-29T04:16:14.672091
2005,Mining & petroleum development,42566400000.0,2024-12-29T04:16:14.672091
2005,"Provincial & municipal government, education & health",35490500000.0,2024-12-29T04:16:14.672091
2005,"Transportation, communication & utilities",15829100000.0,2024-12-29T04:16:14.672091
2005,Wholesale and retail,21395400000.0,2024-12-29T04:16:14.672091
2006,Agriculture & forestry,5363700000.0,2024-12-29T04:16:14.672091
2006,All industries,257750400000.0,2024-12-29T04:16:14.672091
2006,Business & professional services,51767100000.0,2024-12-29T04:16:14.672091
2006,Construction & construction trades,50420000000.0,2024-12-29T04:16:14.672091
2006,"Manufacturing, packaging & processing",25485800000.0,2024-12-29T04:16:14.672091
2006,Mining & petroleum development,44564000000.0,2024-12-29T04:16:14.672091
2006,"Provincial & municipal government, education & health",36574200000.0,2024-12-29T04:16:14.672091
2006,"Transportation, communication & utilities",17097200000.0,2024-12-29T04:16:14.672091
2006,Wholesale and retail,23789500000.0,2024-12-29T04:16:14.672091
2007,Agriculture & forestry,4691500000.0,2024-12-29T04:16:14.672091
2007,All industries,262758000000.0,2024-12-29T04:16:14.672091
2007,Business & professional services,53762100000.0,2024-12-29T04:16:14.672091
2007,Construction & construction trades,55488700000.0,2024-12-29T04:16:14.672091
2007,"Manufacturing, packaging & processing",25558000000.0,2024-12-29T04:16:14.672091
2007,Mining & petroleum development,42825500000.0,2024-12-29T04:16:14.672091
2007,"Provincial & municipal government, education & health",38178400000.0,2024-12-29T04:16:14.672091
2007,"Transportation, communication & utilities",17082700000.0,2024-12-29T04:16:14.672091
2007,Wholesale and retail,24936900000.0,2024-12-29T04:16:14.672091
2008,Agriculture & forestry,5466000000.0,2024-12-29T04:16:14.672091
2008,All industries,266188600000.0,2024-12-29T04:16:14.672091
2008,Business & professional services,55682500000.0,2024-12-29T04:16:14.672091
2008,Construction & construction trades,58379700000.0,2024-12-29T04:16:14.672091
2008,"Manufacturing, packaging & processing",25185100000.0,2024-12-29T04:16:14.672091
