Year,Sector,Sex,Age group,Labour force value
1976,Agriculture & forestry,Both sexes,15 to 24 years,28.3
1976,Agriculture & forestry,Both sexes,15 years and over,112.4
1976,Agriculture & forestry,Both sexes,25 to 54 years,62.4
1976,Agriculture & forestry,Both sexes,55 years and over,21.7
1976,Agriculture & forestry,Females,15 to 24 years,6.3
1976,Agriculture & forestry,Females,15 years and over,29.0
1976,Agriculture & forestry,Females,25 to 54 years,19.0
1976,Agriculture & forestry,Females,55 years and over,3.7
1976,Agriculture & forestry,Males,15 to 24 years,22.0
1976,Agriculture & forestry,Males,15 years and over,83.4
1976,Agriculture & forestry,Males,25 to 54 years,43.3
1976,Agriculture & forestry,Males,55 years and over,18.0
1976,Business & professional services,Both sexes,15 to 24 years,68.9
1976,Business & professional services,Both sexes,15 years and over,189.1
1976,Business & professional services,Both sexes,25 to 54 years,101.9
1976,Business & professional services,Both sexes,55 years and over,17.3
1976,Business & professional services,Females,15 to 24 years,42.0
1976,Business & professional services,Females,15 years and over,94.8
1976,Business & professional services,Females,25 to 54 years,45.7
1976,Business & professional services,Females,55 years and over,4.1
1976,Business & professional services,Males,15 to 24 years,27.0
1976,Business & professional services,Males,15 years and over,94.4
1976,Business & professional services,Males,25 to 54 years,56.300000000000004
1976,Business & professional services,Males,55 years and over,9.2
1976,Construction & construction trades,Both sexes,15 to 24 years,25.6
1976,Construction & construction trades,Both sexes,15 years and over,83.8
1976,Construction & construction trades,Both sexes,25 to 54 years,52.8
1976,Construction & construction trades,Both sexes,55 years and over,5.4
1976,Construction & construction trades,Females,15 to 24 years,2.2
1976,Construction & construction trades,Females,15 years and over,7.7
1976,Construction & construction trades,Females,25 to 54 years,5.4
1976,Construction & construction trades,Females,55 years and over,0.0
1976,Construction & construction trades,Males,15 to 24 years,23.4
1976,Construction & construction trades,Males,15 years and over,76.1
1976,Construction & construction trades,Males,25 to 54 years,47.3
1976,Construction & construction trades,Males,55 years and over,5.3
1976,"Manufacturing, packaging & processing",Both sexes,15 to 24 years,23.7
1976,"Manufacturing, packaging & processing",Both sexes,15 years and over,74.8
1976,"Manufacturing, packaging & processing",Both sexes,25 to 54 years,44.7
1976,"Manufacturing, packaging & processing",Both sexes,55 years and over,6.4
1976,"Manufacturing, packaging & processing",Females,15 to 24 years,6.9
1976,"Manufacturing, packaging & processing",Females,15 years and over,16.8
1976,"Manufacturing, packaging & processing",Females,25 to 54 years,9.3
1976,"Manufacturing, packaging & processing",Females,55 years and over,0.0
1976,"Manufacturing, packaging & processing",Males,15 to 24 years,16.7
1976,"Manufacturing, packaging & processing",Males,15 years and over,58.0
1976,"Manufacturing, packaging & processing",Males,25 to 54 years,35.4
1976,"Manufacturing, packaging & processing",Males,55 years and over,5.8
1976,Mining & petroleum development,Both sexes,15 to 24 years,0.0
1976,Mining & petroleum development,Both sexes,15 years and over,0.0
1976,Mining & petroleum development,Both sexes,25 to 54 years,0.0
1976,Mining & petroleum development,Both sexes,55 years and over,0.0
1976,Mining & petroleum development,Females,15 to 24 years,0.0
1976,Mining & petroleum development,Females,15 years and over,0.0
1976,Mining & petroleum development,Females,25 to 54 years,0.0
1976,Mining & petroleum development,Females,55 years and over,0.0
1976,Mining & petroleum development,Males,15 to 24 years,0.0
1976,Mining & petroleum development,Males,15 years and over,0.0
1976,Mining & petroleum development,Males,25 to 54 years,0.0
1976,Mining & petroleum development,Males,55 years and over,0.0
1976,"Provincial & municipal government, education & health",Both sexes,15 to 24 years,44.0
1976,"Provincial & municipal government, education & health",Both sexes,15 years and over,183.8
